mitigation,tRH,trace,ipc_0,ipc_1,ipc_2,ipc_3,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,insn_3
PRAC-RFM,1024,Mix43,0.6204447897922836,0.61958668512688,1.6027516970455693,1.4989423388227447,0,8812,0,0,0,0,0,4986913.2625625,100000001,100000001,100000001,100000003
PRAC-RFM,512,Mix43,0.6204447897922836,0.61958668512688,1.6027516970455693,1.4989423388227447,0,8812,0,0,0,0,0,4986913.2625625,100000001,100000001,100000001,100000003
PRAC-RFM,256,Mix43,0.6204447897922836,0.61958668512688,1.6027516970455693,1.4989423388227447,0,8812,0,0,0,0,0,4986913.2625625,100000001,100000001,100000001,100000003
PRAC-RFM,128,Mix43,0.6204447897922836,0.61958668512688,1.6027516970455693,1.4989423388227447,0,8812,0,0,0,0,0,4986913.2625625,100000001,100000001,100000001,100000003
PRAC-RFM,64,Mix43,0.6169348135762748,0.6163313330156309,1.5910310304188264,1.4872242606365198,0,8787,0,0,0,0,0,5007707.541750001,100000001,100000001,100000001,100000003
PRAC-RFM,32,Mix43,0.497908674049995,0.49771073222749274,1.338590258329177,1.2148444290315787,0,8877,0,0,0,0,0,5713137.6200625,100000001,100000001,100000001,100000003
PRAC-RFM,20,Mix43,0.0580152169166806,0.05816558414417965,0.2689698618465905,0.17840399699870965,0,11035,0,0,0,0,0,34261242.66425,100000001,100000001,100000001,100000003
RFM,1024,Mix43,0.7834896067323318,0.782970518239803,1.7385688490816897,1.7273416356394373,0,8110,0,0,0,0,0,3940109.987875,100000001,100000001,100000001,100000003
RFM,512,Mix43,0.7720198172852997,0.768732620445045,1.7281225220883434,1.7105865392375526,0,11492,0,0,0,0,0,4018378.2003125,100000001,100000001,100000001,100000003
RFM,256,Mix43,0.710278664051648,0.7093271698477507,1.6720341078903072,1.6267944457269912,0,29839,0,0,0,0,0,4386337.897875,100000001,100000001,100000001,100000003
RFM,128,Mix43,0.6078175487319999,0.6074642115652522,1.5819644068136598,1.473025074465466,0,71232,0,0,0,0,0,5195788.5144375,100000000,100000001,100000001,100000003
RFM,64,Mix43,0.4515829125848783,0.45077792074800427,1.3954440009723454,1.211506566765192,0,184824,0,0,0,0,0,7262622.453875001,100000000,100000001,100000001,100000003
RFM,32,Mix43,0.3114794223037311,0.3126963627603476,1.1294844967298374,0.907033504020707,0,437867,0,0,0,0,0,12002086.083687503,100000001,100000001,100000001,100000003
RFM,20,Mix43,0.23327701101011727,0.2332360114102974,0.8957390803092242,0.7056870548848161,0,755985,0,0,0,0,0,20709533.473375,100000001,100000001,100000001,100000003
Dummy,0,Mix43,0.8175396675352344,0.815401553909095,1.7658971222605262,1.7758932374218415,0,0,0,0,0,0,0,3778224.7928125,100000001,100000001,100000001,100000003
Chronus,1024,Mix12,0.8283892811565176,1.2674611434124285,1.2683347585399483,0.5212575496596323,0,0,0,0,0,0,0,6745425.122804982,100000002,100000001,100000001,100000002
Chronus,512,Mix12,0.8283892811565176,1.2674611434124285,1.2683347585399483,0.5216565803238622,0,0,0,0,0,0,0,6741742.637869213,100000002,100000001,100000001,100000002
