,mitigation,tRH,trace,ipc_0,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,aipc_0,soa_0,aos_0,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
1927,PRAC-4,1024,wc_map0,0.2653731049487832,0,0,0,0,0,0,0,9575196.994748032,100000001,0.3102108381132712,0.8554604557429555,1.1689611054335807,0.8554604557429555,0.8554604557429555,0.14453954425704452,100000001,1.0,1.0,0.0,8286409.846323402,0.8554604557429555,0.8554604557429555,inf,1.155530220243264
1928,PRAC-4,512,wc_map0,0.2653731049487832,0,0,0,0,0,0,0,9575196.994748032,100000001,0.3102108381132712,0.8554604557429555,1.1689611054335807,0.8554604557429555,0.8554604557429555,0.14453954425704452,100000001,1.0,1.0,0.0,8286409.846323402,0.8554604557429555,0.8554604557429555,inf,1.155530220243264
1929,PRAC-4,256,wc_map0,0.265361420898306,0,0,0,0,0,0,0,9575474.526307754,100000001,0.3102108381132712,0.8554227908742866,1.1690125756153258,0.8554227908742866,0.8554227908742866,0.14457720912571337,100000001,1.0,1.0,0.0,8286409.846323402,0.8554227908742866,0.8554227908742866,inf,1.1555637126199227
1930,PRAC-4,128,wc_map0,0.2653096515004678,0,0,0,0,0,0,0,9577150.93066599,100000001,0.3102108381132712,0.8552559063187597,1.1692406829486346,0.8552559063187597,0.8552559063187597,0.1447440936812403,100000001,1.0,1.0,0.0,8286409.846323402,0.8552559063187597,0.8552559063187597,inf,1.155766020300731
1931,PRAC-4,64,wc_map0,0.2647005232573421,0,0,0,0,0,0,0,9592494.206825059,100000001,0.3102108381132712,0.8532923119877863,1.1719313369535123,0.8532923119877863,0.8532923119877864,0.14670768801221368,100000001,1.0,1.0,0.0,8286409.846323402,0.8532923119877863,0.8532923119877864,inf,1.1576176395717566
1932,PRAC-4,32,wc_map0,0.1799975256820377,0,0,0,0,0,0,0,12848970.134072801,100000001,0.3102108381132712,0.5802425433514767,1.7234172355305202,0.5802425433514767,0.5802425433514767,0.41975745664852326,100000001,1.0,1.0,0.0,8286409.846323402,0.5802425433514767,0.5802425433514767,inf,1.5506076059916059
1933,PRAC-2,1024,wc_map0,0.2653731049487832,0,0,0,0,0,0,0,9575196.994748032,100000001,0.3102108381132712,0.8554604557429555,1.1689611054335807,0.8554604557429555,0.8554604557429555,0.14453954425704452,100000001,1.0,1.0,0.0,8286409.846323402,0.8554604557429555,0.8554604557429555,inf,1.155530220243264
1934,PRAC-2,512,wc_map0,0.2653731049487832,0,0,0,0,0,0,0,9575196.994748032,100000001,0.3102108381132712,0.8554604557429555,1.1689611054335807,0.8554604557429555,0.8554604557429555,0.14453954425704452,100000001,1.0,1.0,0.0,8286409.846323402,0.8554604557429555,0.8554604557429555,inf,1.155530220243264
1935,PRAC-2,256,wc_map0,0.265361420898306,0,0,0,0,0,0,0,9575502.10080748,100000001,0.3102108381132712,0.8554227908742866,1.1690125756153258,0.8554227908742866,0.8554227908742866,0.14457720912571337,100000001,1.0,1.0,0.0,8286409.846323402,0.8554227908742866,0.8554227908742866,inf,1.1555670402974378
1936,PRAC-2,128,wc_map0,0.2653169813314536,0,0,0,0,0,0,0,9576730.765107691,100000001,0.3102108381132712,0.8552795348645267,1.169208380694385,0.8552795348645267,0.8552795348645267,0.14472046513547332,100000001,1.0,1.0,0.0,8286409.846323402,0.8552795348645267,0.8552795348645267,inf,1.1557153149209476
1937,PRAC-2,64,wc_map0,0.2649477350590714,0,0,0,0,0,0,0,9584739.829840105,100000001,0.3102108381132712,0.8540892274122532,1.1708378561685315,0.8540892274122532,0.8540892274122532,0.14591077258774676,100000001,1.0,1.0,0.0,8286409.846323402,0.8540892274122532,0.8540892274122532,inf,1.156681845044481
1938,PRAC-2,32,wc_map0,0.1747163814157946,0,0,0,0,0,0,0,13172739.486835105,100000001,0.3102108381132712,0.5632181727706052,1.775510891420212,0.5632181727706052,0.563218172770605,0.43678182722939485,100000001,1.0,1.0,0.0,8286409.846323402,0.5632181727706052,0.563218172770605,inf,1.5896799375280382
1939,PRAC-1,1024,wc_map0,0.2653731049487832,0,0,0,0,0,0,0,9575196.994748032,100000001,0.3102108381132712,0.8554604557429555,1.1689611054335807,0.8554604557429555,0.8554604557429555,0.14453954425704452,100000001,1.0,1.0,0.0,8286409.846323402,0.8554604557429555,0.8554604557429555,inf,1.155530220243264
1940,PRAC-1,512,wc_map0,0.2653731049487832,0,0,0,0,0,0,0,9575196.994748032,100000001,0.3102108381132712,0.8554604557429555,1.1689611054335807,0.8554604557429555,0.8554604557429555,0.14453954425704452,100000001,1.0,1.0,0.0,8286409.846323402,0.8554604557429555,0.8554604557429555,inf,1.155530220243264
