mitigation,tRH,trace,ipc_0,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0
PARA,64,523.xalancbmk,1.388504055736996,38423,0,0,0,0,0,0,1680828.7725625,100000001
PARA,32,523.xalancbmk,1.1231419694114535,65518,0,0,0,0,0,0,2077564.9933125002,100000001
PARA,20,523.xalancbmk,0.9734420575948279,87046,0,0,0,0,0,0,2395930.0606875,100000001
PRAC-4,1024,523.xalancbmk,2.066416036578539,0,0,0,0,0,0,0,1137018.3855625,100000001
PRAC-4,512,523.xalancbmk,2.066416036578539,0,0,0,0,0,0,0,1137018.3855625,100000001
PRAC-4,256,523.xalancbmk,2.065707788532174,0,0,0,0,0,0,0,1137280.5044375,100000001
PRAC-4,128,523.xalancbmk,2.063868750001806,0,0,0,0,0,0,0,1138101.1833125,100000001
PRAC-4,64,523.xalancbmk,1.9677306540398178,0,0,0,0,0,0,0,1180245.5791875,100000001
PRAC-4,32,523.xalancbmk,1.6328442202948492,0,0,0,0,0,0,0,1367737.2991875,100000001
PRAC-4,20,523.xalancbmk,0.6708733353854901,0,0,0,0,0,0,0,2938135.4868125003,100000001
PRAC-2,1024,523.xalancbmk,2.066416036578539,0,0,0,0,0,0,0,1137018.3855625,100000001
PRAC-2,512,523.xalancbmk,2.066416036578539,0,0,0,0,0,0,0,1137018.3855625,100000001
PRAC-2,256,523.xalancbmk,2.066416036578539,0,0,0,0,0,0,0,1136958.9568125,100000001
PRAC-2,128,523.xalancbmk,2.064292747920834,0,0,0,0,0,0,0,1137923.6912500001,100000001
PRAC-2,64,523.xalancbmk,2.009038200695762,0,0,0,0,0,0,0,1161527.3219375,100000001
PRAC-2,32,523.xalancbmk,1.6492582675419478,0,0,0,0,0,0,0,1354470.06575,100000001
PRAC-2,20,523.xalancbmk,0.7677076390617351,0,0,0,0,0,0,0,2595705.11125,100000001
PRAC-1,1024,523.xalancbmk,2.066416036578539,0,0,0,0,0,0,0,1137018.3855625,100000001
PRAC-1,512,523.xalancbmk,2.066416036578539,0,0,0,0,0,0,0,1137018.3855625,100000001
PRAC-1,256,523.xalancbmk,2.065707788532174,0,0,0,0,0,0,0,1137429.907375,100000001
PRAC-1,128,523.xalancbmk,2.061630059126725,0,0,0,0,0,0,0,1139352.240375,100000001
PRAC-1,64,523.xalancbmk,2.011736490686666,0,0,0,0,0,0,0,1159981.0884375,100000001
PRAC-1,32,523.xalancbmk,0.9380400976867443,0,0,0,0,0,0,0,2171268.6651250003,100000001
PRAC-1,20,523.xalancbmk,0.9380400976867443,0,0,0,0,0,0,0,2171268.6651250003,100000001
PRAC-RFM,1024,523.xalancbmk,2.042881992473451,0,543,0,0,0,0,0,1153386.638125,100000001
PRAC-RFM,512,523.xalancbmk,2.042881992473451,0,543,0,0,0,0,0,1153386.638125,100000001
